"specie","longitude","latitude"
"Curimata macrops",-41.714595,-6.669765
"Curimata macrops",-43.097972,-5.696233
"Curimata macrops",-41.833333,-6.233333
"Curimata macrops",-43.354167,-4.879167
"Curimata macrops",-44.313,-3.256
"Curimata macrops",-44.373,-3.631
"Curimata macrops",-44.055,-4.147
"Curimata macrops",-43.992,-4.253
"Curimata macrops",-44.18,-4.788
"Curimata macrops",-43.902,-4.554
"Curimata macrops",-43.629,-4.539
"Curimata macrops",-43.257,-5.223
"Curimata macrops",-43.579,-5.357
"Curimata macrops",-43.463,-5.732
"Curimata macrops",-43.728,-5.848
"Curimata macrops",-44.213,-5.948
"Curimata macrops",-42.219,-3.48
"Curimata macrops",-42.413,-4.291
"Curimata macrops",-42.695,-3.932
"Curimata macrops",-42.884,-4.155
"Curimata macrops",-41.749,-2.881
"Curimata macrops",-42.895572,-4.884657
"Curimata macrops",-42.809937,-5.214675
"Curimata macrops",-42.996346,-6.751908
