"specie","longitude","latitude"
"Steindachnerina binotata",-67.546584,-14.336473
"Steindachnerina binotata",-67.687544,-14.533778
"Steindachnerina binotata",-67.529167,-14.445833
"Steindachnerina binotata",-67.546,-14.596
"Steindachnerina binotata",-67.715,-14.998
"Steindachnerina binotata",-67.796,-14.411
"Steindachnerina binotata",-67.771,-14.521
"Steindachnerina binotata",-67.854,-14.529
"Steindachnerina binotata",-67.879,-14.447
"Steindachnerina binotata",-67.946,-14.355
"Steindachnerina binotata",-67.896,-14.273
"Steindachnerina binotata",-68.038,-14.256
"Steindachnerina binotata",-68.115,-14.18
"Steindachnerina binotata",-68.196,-14.224
"Steindachnerina binotata",-68.269,-14.106
"Steindachnerina binotata",-68.354,-14.122
"Steindachnerina binotata",-68.488,-14.214
"Steindachnerina binotata",-68.554,-14.316
"Steindachnerina binotata",-68.625,-14.483
"Steindachnerina binotata",-68.495,-14.541
"Steindachnerina binotata",-68.74,-14.581
"Steindachnerina binotata",-67.129,-15.272
"Steindachnerina binotata",-67.527,-14.09
"Steindachnerina binotata",-67.478,-13.755
"Steindachnerina binotata",-67.386,-13.389
"Steindachnerina binotata",-67.212,-13.164
"Steindachnerina binotata",-66.954,-12.637
"Steindachnerina binotata",-65.487,-10.438
"Steindachnerina binotata",-65.612,-10.54
"Steindachnerina binotata",-65.737,-10.705
"Steindachnerina binotata",-66.007,-10.815
"Steindachnerina binotata",-65.876,-11.039
"Steindachnerina binotata",-65.178,-15.898
"Steindachnerina binotata",-65.012,-15.826
"Steindachnerina binotata",-65.138,-15.604
"Steindachnerina binotata",-64.994,-15.321
"Steindachnerina binotata",-65.246,-15.389
"Steindachnerina binotata",-65.013,-15.13
"Steindachnerina binotata",-65.162,-14.831
"Steindachnerina binotata",-65.031,-14.785
"Steindachnerina binotata",-64.913,-14.596
"Steindachnerina binotata",-64.939,-14.455
"Steindachnerina binotata",-65.188,-14.555
"Steindachnerina binotata",-66.027,-16.03
"Steindachnerina binotata",-65.96,-15.788
"Steindachnerina binotata",-67.153,-14.379
"Steindachnerina binotata",-66.993,-14.245
"Steindachnerina binotata",-67.171,-14.92
"Steindachnerina binotata",-66.863,-14.503
"Steindachnerina binotata",-65.263,-13.53
"Steindachnerina binotata",-65.222,-13.242
"Steindachnerina binotata",-65.004,-12.804
"Steindachnerina binotata",-65.017,-12.58
"Steindachnerina binotata",-65.121,-12.028
"Steindachnerina binotata",-65.03,-11.937
